name,city,priority_rank
MAHMUT CELALEDDİN ÖKTEN ANADOLU İMAM HATİP LİSESİ,TRABZON,4
TERAKKİ VAKFI ÖZEL ŞİŞLİ TERAKKİ TEPEÖREN ANADOLU LİSESİ,İSTANBUL,4
MEVLÜDE-AHMET DOĞANAY FEN LİSESİ,YOZGAT,4
ÖZEL DALAMAN BAHÇEŞEHİR FEN LİSESİ,MUĞLA,4
YUSUF KEMALETTİN PERİN FEN LİSESİ,İZMİR,4
İBRAHİM-SÜHEYLA İZMİRLİ FEN LİSESİ,ZONGULDAK,4
ÖZEL KARS BAHÇEŞEHİR KOLEJİ FEN LİSESİ,KARS,4
TED ISPARTA KOLEJİ ÖZEL LİSESİ,ISPARTA,4
NİLÜFER ANADOLU İMAM HATİP LİSESİ,BURSA,4
ÖZEL FORM KAMPÜS FEN LİSESİ,KONYA,4
İSTEK ÖZEL ACIBADEM FEN LİSESİ,İSTANBUL,4
DÜZCE FEN LİSESİ,DÜZCE,4
ÖZEL KÜLTÜR 2000 FEN LİSESİ,İSTANBUL,5
MUŞ FEN LİSESİ,MUŞ,5
ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL ANADOLU LİSESİ,ANKARA,5
ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL FEN VE TEKNOLOJİ LİSESİ,ANKARA,5
FETULLAH BAYIR FEN LİSESİ,KONYA,5
ÖZEL İSTEK ANTALYA KONYAALTI FEN LİSESİ,ANTALYA,5
ÖZEL TEST TEKNİK ÇAĞI FEN LİSESİ,ADIYAMAN,5
ANTALYA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ,ANTALYA,5
FATMA MEHMET CADIL FEN LİSESİ,ANTALYA,5
ÖZEL MANİSA BAHÇEŞEHİR KOLEJİ FEN LSESİ,MANİSA,5
ŞEHİT ERHAN DURAL KIZ ANADOLU İMAM HATİP LİSESİ,RİZE,5
ÇAN FEN LİSESİ,ÇANAKKALE,5
SOMA BORSA İSTANBUL FEN LİSESİ,MANİSA,5
SELİM NEVZAT ŞAHİN ANADOLU LİSESİ,HATAY,5
ÖZEL İNCİRLİOVA BAHÇEŞEHİR ANADOLU LİSESİ,AYDIN,5
DARICA FEN LİSESİ,KOCAELİ,5
PROF. DR. NECMEDDİN ERBAKAN FEN LİSESİ,ERZURUM,5
ADAPAZARI ÖZEL ENKA ANADOLU LİSESİ,SAKARYA,5
SABAHAT-CEMİL ULUPINAR FEN LİSESİ,ZONGULDAK,5
SEVAL-AHMET ÇETİN FEN LİSESİ,TEKİRDAĞ,5
İPEKYOLU BORSA İSTANBUL FEN LİSESİ,VAN,5
ÖZEL KONYA ESENTEPE FEN LİSESİ,KONYA,5
ÖZEL KOCAELİ NESİBE AYDIN FEN LİSESİ,KOCAELİ,5
MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ,KONYA,5
CAHİT ELGİNKAN ANADOLU LİSESİ,KOCAELİ,5
ÖZEL MURADİYE ERKEK FEN LİSESİ,ANKARA,5
ÖZEL BATMAN FİNAL FEN LİSESİ,BATMAN,5
ÖZEL KAYSERİ FİNAL FEN LİSESİ,KAYSERİ,5
TÜRKİYE BÜYÜK MİLLET MECLİSİ VAKFI BİNGÖL FEN LİSESİ,BİNGÖL,5
SUAT TERİMER ANADOLU LİSESİ,İSTANBUL,5
BAHÇELİEVLER ANADOLU LİSESİ,İSTANBUL,5
ÇUKUROVA ELEKTRİK ANADOLU LİSESİ,KAHRAMANMARAŞ,5
ÖZEL ESKİŞEHİR BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ,ESKİŞEHİR,5
MENTEŞE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ,MUĞLA,5
MİLLİ İRADE KIZ ANADOLU İMAM HATİP LİSESİ,ŞANLIURFA,5
MEV KOLEJİ ÖZEL ANKARA FEN LİSESİ,ANKARA,5
İZMİR KIZ LİSESİ,İZMİR,5
MEV KOLEJİ ÖZEL GÜZELBAHÇE FEN LİSESİ,İZMİR,5
ÖZEL MUDANYA YOLU FARKLI KALİTE MODERN FEN LİSESİ,BURSA,5
ÖZEL BİLİM KAMPÜS ANADOLU LİSESİ,DENİZLİ,5
MUSTAFA BÜYÜKKAPLAN ANADOLU İMAM HATİP LİSESİ,KONYA,5
ÖZEL ORTACA UĞUR ANADOLU LİSESİ,MUĞLA,5
ÇANAKKALE FEN LİSESİ,ÇANAKKALE,5
İSTANBUL ERKEK LİSESİ,İSTANBUL,5
TİRE BELGİN ATİLA ÇALLIOĞLU FEN LİSESİ,İZMİR,5
ÖZEL BÜYÜK FEN LİSESİ,ANKARA,5
ZİLE FEN LİSESİ,TOKAT,5
KARACABEY ULVİYE MATLI FEN LİSESİ,BURSA,5
ÖZEL ARI FEN LİSESİ,ANKARA,5
ÇİĞLİ FEN LİSESİ,İZMİR,5
ÖZEL KADİRLİ ÇUKUROVA ARTI KOEJİ FEN LİSESİ,OSMANİYE,5
ÖZEL İSTEM KOLEJİ FEN LİSESİ,KAYSERİ,5
ÖZEL BİLFEN ÇAYYOLU FEN LİSESİ,ANKARA,5
ÖZEL GEBZE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ,KOCAELİ,5
KADİR HAS ANADOLU LİSESİ,İSTANBUL,5
ATATÜRK ANADOLU LİSESİ,ANKARA,5
ADANA TİCARET ODASI ANADOLU LİSESİ,ADANA,5
ÖZEL ERDEM FEN LİSESİ,GAZİANTEP,5
YAHYA TURAN FEN LİSESİ,HATAY,5
GÜZELBAHÇE 60.YIL ANADOLU LİSESİ,İZMİR,5
GÜLVEREN ANADOLU LİSESİ,ANTALYA,5
FATİH SULTAN MEHMET ULUSLARARASI ANADOLU İMAM HATİP LİSESİ,İSTANBUL,5
BÜYÜKŞEHİR HÜSEYİN YILDIZ ANADOLU LİSESİ,İSTANBUL,5
MACİDE-RAMİZ TAŞKINLAR FEN LİSESİ,MANİSA,5
VECİHİ HÜRKUŞ ANADOLU LİSESİ,ANKARA,5
NİKSAR PROF. DR. MUSTAFA EROL TURAÇLI FEN LİSESİ,TOKAT,5
ÖZEL AKDENİZ YÜKSELİŞ FEN LİSESİ,ANTALYA,5
ÖZEL GAZİEMİR UĞUR FEN LİSESİ,İZMİR,5
ERCAN AKIN FEN LİSESİ,BURDUR,5
ÖZEL EGE LİSESİ,İZMİR,5
HAYDAR ALİYEV FEN LİSESİ,IĞDIR,5
NİZİP FEN LİSESİ,GAZİANTEP,5
GÖLBAŞI FEN LİSESİ,ADIYAMAN,5
NECMETTİN ERBAKAN FEN LİSESİ,SAKARYA,5
YALOVA-TERMAL FEN LİSESİ,YALOVA,5
ORTAKLAR FEN LİSESİ,AYDIN,5
BELEDİYE FEN LİSESİ,MUĞLA,5
SALİHLİ SEKİNE EVREN ANADOLU LİSESİ,MANİSA,5
TED HATAY KOLEJİ ÖZEL ANADOLU LİSESİ,HATAY,5
ÖZEL BOĞAZİÇİ ŞEHİR FEN LİSESİ,KÜTAHYA,5
FAHREDDİN KERİM GÖKAY ANADOLU LİSESİ,İSTANBUL,5
GÜLTEN-ALİ ZİYAN ANADOLU LİSESİ,OSMANİYE,5
ÖZEL OSMANİYE İSTEK FEN LİSESİ,OSMANİYE,5
ÖZEL SİMYA FEN LİSESİ,HATAY,5
ÖZEL EREĞLİ SİMYA FEN LİSESİ,KONYA,6
BÜYÜKÇEKMECE ATATÜRK ANADOLU LİSESİ,İSTANBUL,6
ESENYURT NAKİPOĞLU CUMHURİYET ANADOLU LİSESİ,İSTANBUL,6
AHMET HAMDİ GÖKBAYRAK FEN LİSESİ,BURSA,6
İSTEK ÖZEL ATANUR OĞUZ FEN LİSESİ,İSTANBUL,6
ÖZEL FİNAL FEN LİSESİ,DENİZLİ,6
ÖZEL İZMİR AMERİKAN KOLEJİ,İZMİR,6
ÖZEL SULAR FEN LİSESİ,ADANA,6
ŞEHİT OSMAN ARSLAN KIZ ANADOLU İMAM HATİP LİSESİ,ÇORUM,6
ALTINŞEHİR ANADOLU LİSESİ,ADIYAMAN,6
İSTEK ÖZEL BİLGE KAĞAN FEN LİSESİ,İSTANBUL,6
ÖZEL ÇAKABEY LİSESİ,İZMİR,6
AYFER-CEYLAN EMET FEN LİSESİ,AFYONKARAHİSAR,6
ATATÜRK ÜNİVERSİTESİ SÜHEYLA SITKI ALP ÖZEL FEN LİSESİ,ERZURUM,6
ÖZEL ESKİŞEHİR BAŞARI ANADOLU LİSESİ,ESKİŞEHİR,6
ÖZEL ANTALYA LARA BAHÇEŞEHİR ANADOLU LİSESİ,ANTALYA,6
TARSUS ŞEHİT HALİL ÖZDEMİR FEN LİSESİ,MERSİN,6
ŞÜKRÜ ŞANKAYA ANADOLU LİSESİ,BURSA,6
ADEM-TOLUNAY ANADOLU LİSESİ,ANTALYA,6
ÖZEL BİLNET FEN LİSESİ,BALIKESİR,6
ÖZEL ÇAĞLAYAN KIZ FEN LİSESİ,ANKARA,6
ÖZEL DÜNYA KOLEJİ FEN LİSESİ,İZMİR,6
ERTUĞRUL GAZİ ANADOLU İMAM HATİP LİSESİ,UŞAK,6
AKSU FEN LİSESİ,ANTALYA,6
BORSA İSTANBUL ZEYTİNBURNU ANADOLU LİSESİ,İSTANBUL,6
ATATÜRK LİSESİ,ESKİŞEHİR,6
ÖZEL BAŞAKŞEHİR FİNAL FEN LİSESİ,İSTANBUL,6
ÖZEL GAZİANTEP BAHÇEŞEHİR KOLEJİ FEN TEKNOLOJİ LİSESİ,GAZİANTEP,6
ÖZEL BİLFEN FEN LİSESİ,İZMİR,6
ECZACI BAHATTİN-SEVİNÇ ERDİNÇ FEN LİSESİ,ADANA,6
TEVFİK İLERİ ANADOLU İMAM HATİP LİSESİ,ANKARA,6
ÖZEL JALE TEZER FEN LİSESİ,ANKARA,6
SELÇUK ANADOLU LİSESİ,SİVAS,6
ÖZEL GAZİEMİR UĞUR ANADOLU LİSESİ,İZMİR,6
ÖZEL ÜÇ MART HALİL GÜLEÇ FEN LİSESİ,BURSA,6
ŞEHİT İBRAHİM ARMUT FEN LİSESİ,MERSİN,6
ÖZEL BEŞGEN ANADOLU LİSESİ,ANKARA,6
HAVVA-SEDAT AVCIOĞLU FEN LİSESİ,ANTALYA,6
BORSA İSTANBUL FEN LİSESİ,DİYARBAKIR,6
ELBİSTAN BORSA İSTANBUL FEN LİSESİ,KAHRAMANMARAŞ,6
ÖZEL MUSTAFA KEMAL FİNAL ANADOLU LİSESİ,ANKARA,6
ÖZEL EVRE FEN LİSESİ,MERSİN,6
BAŞKENT ÜNİVERSİTESİ ÖZEL AYŞEABLA FEN LİSESİ,ANKARA,6
GAZİANTEP ANADOLU LİSESİ,GAZİANTEP,6
BEŞİKTAŞ SAKIP SABANCI ANADOLU LİSESİ,İSTANBUL,6
SAMİ YANGIN ANADOLU LİSESİ,KAYSERİ,6
GÖNEN FEN LİSESİ,ISPARTA,6
RECEP TAYYİP ERDOĞAN ANADOLU İMAM HATİP LİSESİ,NEVŞEHİR,6
NİŞANTAŞI NURİ AKIN ANADOLU LİSESİ,İSTANBUL,6
ALPARSLAN GAZİ ANADOLU LİSESİ,KARABÜK,6
MERSİN TİCARET VE SANAYİ ODASI ANADOLU LİSESİ,MERSİN,6
TED ESKİŞEHİR KOLEJİ ÖZEL ANADOLU LİSESİ,ESKİŞEHİR,6
İZZET BAYSAL ANADOLU LİSESİ,BOLU,6
ÖZEL BİLFEN ÜSKÜDAR FEN LİSESİ,İSTANBUL,6
TED KAYSERİ KOLEJİ VAKFI ÖZEL LİSESİ,KAYSERİ,6
ATATÜRK ANADOLU LİSESİ,NİĞDE,6
MUT OSMAN NURİ YALMAN ANADOLU LİSESİ,MERSİN,6
ARNAVUTKÖY KORKMAZ YİĞİT ANADOLU LİSESİ,İSTANBUL,6
KIRŞEHİR AHİ EVRAN ANADOLU LİSESİ,KIRŞEHİR,6
ÖZEL MEFKURE FEN LİSESİ,SAKARYA,6
ÖZEL NAKKAŞTEPE BAHÇEŞEHİR KOLEJİ 50. YIL ANADOLU LİSESİ,İSTANBUL,6
BURSA ERKEK LİSESİ,BURSA,6
ÖZEL NUN ANADOLU LİSESİ,İSTANBUL,6
ÖZEL YALOVA UĞUR FEN LİSESİ,YALOVA,6
VAKFIKEBİR FEN LİSESİ,TRABZON,6
ARAŞTIRMA GELİŞTİRME EĞİTİM VE UYGULAMA MERKEZİ LİSESİ,İSTANBUL,6
TEV ORHAN ÇETİN FEN LİSESİ,EDİRNE,6
PAZARCIK FEN LİSESİ,KAHRAMANMARAŞ,6
MEHMET KOLOĞLU ANADOLU LİSESİ,ELAZIĞ,6
15 TEMMUZ ŞEHİTLER FEN LİSESİ,KOCAELİ,6
ÇANKIRI TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ,ÇANKIRI,6
ÖZEL FİNAL AKADEMİ FEN LİSESİ,DİYARBAKIR,6
HABİRE YAHŞİ ANADOLU LİSESİ,İSTANBUL,6
İÇEL ANADOLU LİSESİ,MERSİN,6
TED KARABÜK KOLEJİ VAKFI ÖZEL ANADOLU LİSESİ,KARABÜK,6
FLORYA TEVFİK ERCAN ANADOLU LİSESİ,İSTANBUL,6
ŞANLIURFA ANADOLU LİSESİ,ŞANLIURFA,6
CİZRE FEN LİSESİ,ŞIRNAK,6
KARŞIYAKA CİHAT KORA ANADOLU LİSESİ,İZMİR,6
KAYSERİ FEN LİSESİ,KAYSERİ,6
EREĞLİ FEN LİSESİ,KONYA,6
ÖZEL MERSİN EVRENSEL KÜLTÜR ANADOLU LİSESİ,MERSİN,6
TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ KIZ ANADOLU İMAM HATİP LİSESİ,ADIYAMAN,6
ÇARŞAMBA FEN LİSESİ,SAMSUN,6
ÖZEL MERSİN BİREY AKADEMİ ANADOLU LİSESİ,MERSİN,6
BOZÜYÜK FEN LİSESİ,BİLECİK,7
ÖZEL TAKEV FEN LİSESİ,İZMİR,7
EYÜPSULTAN ANADOLU LİSESİ,İSTANBUL,7
BEHİYE DR.NEVHİZ IŞIL ANADOLU LİSESİ,İSTANBUL,7
ÖZEL DİYARBAKIR HÜRRİYET FEN LİSESİ,DİYARBAKIR,7
ÖZEL BURÇAK EYÜBOĞLU FEN VE TEKNOLOJİ LİSESİ,İSTANBUL,7
MERKEZ BANKASI DERİNCE ANADOLU LİSESİ,KOCAELİ,7
MALTEPE FEN LİSESİ,İSTANBUL,7
ŞEHİT ÖMER HALİSDEMİR ANADOLU İMAM HATİP LİSESİ,ANKARA,7
ŞEHİT ABDULKADİR KILAVUZ ANADOLU LİSESİ,UŞAK,7
ERGANİ FEN LİSESİ,DİYARBAKIR,7
ATAKENT ANADOLU LİSESİ,İSTANBUL,7
ÖZEL ÇORUM ADA ANADOLU LİSESİ,ÇORUM,7
ÖZEL JALE TEZER BİLİM FEN LİSESİ,ANKARA,7
ÖZEL KEÇİÖREN FİNAL AKADEMİ ANADOLU LİSESİ,ANKARA,7
ADNAN MENDERES ANADOLU İMAM HATİP LİSESİ,AYDIN,7
ÖZEL İLKE BİREY FEN LİSESİ,TRABZON,7
AHMET KABAKLI FEN LİSESİ,ELAZIĞ,7
FATSA FEN LİSESİ,ORDU,7
ÖZEL DARUŞŞAFAKA LİSESİ,İSTANBUL,7
ÖZEL VAN MEKTEBİM FEN LİSESİ,VAN,7
SİVAS LİSESİ,SİVAS,7
GÖZTEPE İHSAN KURŞUNOĞLU ANADOLU LİSESİ,İSTANBUL,7
TES-İŞ ANADOLU LİSESİ,ŞANLIURFA,7
İSTİKLAL MAKZUME ANADOLU LİSESİ,HATAY,7
BATMAN ANADOLU LİSESİ,BATMAN,7
ÖZEL MOD ERYAMAN FEN LİSESİ,ANKARA,7
İSTEK ÖZEL ULUĞBEY FEN LİSESİ,İSTANBUL,7
ABDÜLHAMİD HAN FEN LİSESİ,AKSARAY,7
ÖZEL YENİ İZLER FEN LİSESİ,ŞANLIURFA,7
GÖLHİSAR FEN LİSESİ,BURDUR,7
ASIMIN NESLİ ANADOLU İMAM HATİP LİSESİ,AYDIN,7
ENERJİSA BANDIRMA FEN LİSESİ,BALIKESİR,7
SAMİHA AYVERDİ ANADOLU LİSESİ,İSTANBUL,7
TED ÖZEL ATAKENT ANADOLU LİSESİ,İSTANBUL,7
GELİBOLU FEN LİSESİ,ÇANAKKALE,7
YUNUS EMRE ANADOLU LİSESİ,İZMİR,7
ÖZEL ANKARA FİNAL ANADOLU LİSESİ,ANKARA,7
FATİH ANADOLU LİSESİ,MANİSA,7
ÖZEL MERSİN UĞUR FEN LİSESİ,MERSİN,7
YALVAÇ FEN LİSESİ,ISPARTA,7
ÖZEL İDEAL EĞİTİM ANADOLU LİSESİ,KAYSERİ,7
ŞEHİT HÜSEYİN KAVAKLI FEN LİSESİ,AMASYA,7
İRFAN ATASEVEN ANADOLU LİSESİ,KARAMAN,7
ÖZEL VAN NAZMİ ARIKAN FEN BİLİMLERİ FEN LİSESİ,VAN,7
KADIKÖY AHMET SANİ GEZİCİ KIZ ANADOLU İMAM HATİP LİSESİ,İSTANBUL,7
BURSA İPEKÇİLİK ANADOLU İMAM HATİP LİSESİ,BURSA,7
ÖZEL TARSUS AMERİKAN KOLEJİ,MERSİN,7
ÖZEL KÜLTÜR ANADOLU LİSESİ,MERSİN,7
SINAV KOLEJİ ÖZEL ANKARA FEN LİSESİ,ANKARA,7
ATAKUM ANADOLU İMAM HATİP LİSESİ,SAMSUN,7
KERNEK ANADOLU LİSESİ,MALATYA,7
ŞEHİT MURAT AKDEMİR ANADOLU İMAM HATİP LİSESİ,KARABÜK,7
SİMAV FEN LİSESİ,KÜTAHYA,7
PENDİK FATİH ANADOLU LİSESİ,İSTANBUL,7
ÖZEL ETİMESGUT FİNAL AKADEMİ ANADOLU LİSESİ,ANKARA,7
İTO İBRAHİM ÇAĞLAR ANADOLU İMAM HATİP LİSESİ,İSTANBUL,7
HASAN POLATKAN ANADOLU LİSESİ,İSTANBUL,7
TUŞBA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ,VAN,7
ÇEAŞ ŞANLIURFA ANADOLU LİSESİ,ŞANLIURFA,7
ŞEHİT SELÇUK GÜRDAL ANADOLU LİSESİ,İSTANBUL,7
AHMED ARİF ANADOLU LİSESİ,DİYARBAKIR,7
ÖZEL ÇEVRE KOLEJİ,İSTANBUL,7
ÖZEL FATSA BAHÇEŞEHİR FEN LİSESİ,ORDU,7
DİNAR FEN LİSESİ,AFYONKARAHİSAR,7
ÖZEL BATIKENT MELTEM AYHAN FEN LİSESİ,ANKARA,7
AYTEN KEMAL AKINAL ANADOLU LİSESİ,GAZİANTEP,7
MEHMET HADİ KAHRAMAN FEN LİSESİ,MARDİN,7
NECMETTİN ERBAKAN ANADOLU İMAM HATİP LİSESİ,KAHRAMANMARAŞ,7
ÖZEL BEYZA ENDERUN FEN LİSESİ,KAHRAMANMARAŞ,7
TERME FEN LİSESİ,SAMSUN,7
TUNCELİ TÜRK TELEKOM FEN LİSESİ,TUNCELİ,7
YAVUZ SULTAN SELİM ANADOLU LİSESİ,ANKARA,7
ERCİYES ANADOLU İMAM HATİP LİSESİ,KAYSERİ,7
ÖZEL KARAMAN BAŞARI FEN LİSESİ,KARAMAN,7
ÖZEL TURUNCU FEN LİSESİ,İZMİR,7
ÖZEL ÇINAR FEN LİSESİ,İSTANBUL,7
SİLİFKE FEN LİSESİ,MERSİN,7
ÖZEL ERAL ANADOLU LİSESİ,ADANA,7
ÖMER DERİNDERE FEN LİSESİ,ÇORUM,7
ÖZEL GAZİANTEP İŞLEM FEN LİSESİ,GAZİANTEP,7
ÖZEL MODERN ANKARA ÇINAR ANADOLU LİSESİ,ANKARA,7
ÖZEL İAOSB NEDİM UYSAL MESLEKİ VE TEKNİK ANADOLU LİSESİ,İZMİR,7
ÖZEL BAHÇEŞEHİR FEN LİSESİ,KAYSERİ,7
DURMUŞ ALİ ÇOBAN ANADOLU LİSESİ,DENİZLİ,8
AZİZ SANCAR ANADOLU LİSESİ,İSTANBUL,8
MERİNOS ALİ ERDEMOĞLU FEN LİSESİ,ADIYAMAN,8
ÖZEL BİLGİ FEN LİSESİ,TOKAT,8
OSMANGAZİ GAZİ ANADOLU LİSESİ,BURSA,8
MELİHA HASANALİ BOSTAN ÇUBUK FEN LİSESİ,ANKARA,8
ÖZEL ANTALYA RENK FEN LİSESİ,ANTALYA,8
ÖZEL ELAZIĞ FİNAL AKADEMİ FEN LİSESİ,ELAZIĞ,8
ÖZEL YANKI ANADOLU LİSESİ,ANKARA,8
ÖZEL BURSA FEN GURUP FEN LİSESİ,BURSA,8
TAHİR BÜYÜKKÖRÜKÇÜ ANADOLU İMAM HATİP LİSESİ,KONYA,8
MUSTAFA KAYNAK ANADOLU LİSESİ,DENİZLİ,8
GÜNEYSU ŞEHİT KEMAL MUTLU FEN LİSESİ,RİZE,8
ILGIN TİCARET BORSASI FEN LİSESİ,KONYA,8
DÜZCE ANADOLU İMAM HATİP LİSESİ,DÜZCE,8
ÖZEL SALİHLİ BAHÇEŞEHİR KOLEJİ FEN LİSESİ,MANİSA,8
ÖZEL SERDİVAN ALTINKÜRE FEN LİSESİ,SAKARYA,8
KONAK ANADOLU LİSESİ,İZMİR,8
ÖZEL ISPARTA BÜYÜK BAŞARI KOLEJİ ANADOLU LİSESİ,ISPARTA,8
TED AFYON KOLEJİ ÖZEL ANADOLU LİSESİ,AFYONKARAHİSAR,8
NUH MEHMET BALDÖKTÜ ANADOLU LİSESİ,KAYSERİ,8
MEHMET AKİF ERSOY KIZ ANADOLU İMAM HATİP LİSESİ,KOCAELİ,8
MANAVGAT ANADOLU LİSESİ,ANTALYA,8
ÇANAKKALE ÖZEL FEN LİSESİ,ÇANAKKALE,8
ÖZEL MUSTAFAKEMALPAŞA SINAV KOLEJİ FEN LİSESİ,BURSA,8
ŞEHİT MUSTAFA SEZGİN KIZ ANADOLU İMAM HATİP LİSESİ,KAYSERİ,8
MEV KOLEJİ ÖZEL BÜYÜKÇEKMECE FEN LİSESİ,İSTANBUL,8
ÖZEL SEÇKİN BİLİM KOLEJİ FEN LİSESİ,ORDU,8
ÖZEL PROFESYONEL EĞİTİM AKADEMİSİ,PEMA,8
ÜRGÜP TESAN FEN LİSESİ,NEVŞEHİR,8
FATİH ANADOLU LİSESİ,ADIYAMAN,8
DOLAPOĞLU ANADOLU LİSESİ,KONYA,8
MALATYA ANADOLU LİSESİ,MALATYA,8
TEKİRDAĞ ANADOLU LİSESİ,TEKİRDAĞ,8
GEDİZ FEN LİSESİ,KÜTAHYA,8
MİDYAT ANADOLU İMAM HATİP LİSESİ,MARDİN,8
MEVLANA ANADOLU LİSESİ,İSTANBUL,8
ŞEHİT ADİL BÜYÜKCENGİZ ANADOLU İMAM HATİP LİSESİ,İSTANBUL,8
FATİH ANADOLU LİSESİ,ANKARA,8
KÖYCEĞİZ FEN LİSESİ,MUĞLA,8
BİSMİL FEN LİSESİ,DİYARBAKIR,8
SÖKE YAVUZ SELİM ANADOLU LİSESİ,AYDIN,8
EREĞLİ LİSESİ,KONYA,8
DEDE KORKUT ANADOLU LİSESİ,İSTANBUL,8
15 TEMMUZ ŞEHİTLER ANADOLU LİSESİ,İZMİR,8
NURİ NİHAT ASLANOBA ANADOLU LİSESİ,BURSA,8
KAHTA BORSA İSTANBUL FEN LİSESİ,ADIYAMAN,8
ÖZEL GELECEK EGEFEN ANADOLU LİSESİ,AYDIN,8
HİKMET KİLER FEN LİSESİ,BİTLİS,8
ÖZEL SERDİVAN TEKSEN ANADOLU LİSESİ,SAKARYA,8
ÖZEL BURSA SINAV KOLEJİ FEN LİSESİ,BURSA,8
ÖZEL ADANA DOĞA FEN LİSESİ,ADANA,8
TATVAN FEN LİSESİ,BİTLİS,8
